categoria,titulo,subtitulo
"Desporto","Tenista Joao Sousa na final de Bastad","O tenista português Joao Sousa, quinto cabeça de série, qualificou-se hoje para a final do torneio de Bastad, na Suécia, ao bater nas meias-finais o argentino Carlos Berlocq, sétimo."
"Desporto","Tour. Rui Costa lamenta-se da sorte, com correia solta na ultima subida","Para o ciclista da Lampre-Merida, vai ser uma disputa interessante até Paris"
"Desporto","Joao Sousa joga segunda final de um ATP","Português enfrenta amanha Pablo Cuevas em Bastad."
"Pais","TAP está a investigar problema no aviao que provocou queda de peças","A TAP já está a investigar as causas do incidente que ocorreu hoje de manha, em que um aviao da companhia teve um problema num dos reatores, provocando a queda de peças na zona de Camarate, Loures."
"ultimas","Seleçao de sub-19 empata (1-1) com Estoril, antes de partir para o Europeu",?
"Jogos","Segunda série de episodios do jogo The Walking Dead no Outono",?
"Dicas","Dica do Dia: Novos filtros das mensagens no Facebook",?
"Dicas","Dica do Dia: Whitespace Remover for Google Plus para o Chrome",?
"Dicas","Dica do Dia: Secure Bookmarks para o Chrome",?
"Futebol","Salvio faz balanço positivo dos primeiros dias de trabalho dos campeões",?
"Internacional","Oficial: Graziano Pellè assina pelo Southampton","Saints reforçam ataque"
"sociedade","Tribunal suspende modelo de emergência pré-hospitalar com técnicos de ambulância","Ordem dos Enfermeiros tinha interposto uma providência cautelar. Tribunal Administrativo do Circulo de Lisboa deu-lhe razao."
"culturaipsilon","A imensa liberdade de um rapaz sem fronteiras","Antu Romero Nunes assina um retrato de Don Giovanni, a partir de Mozart, que foge a uma definiçao. É teatro? É opera? Viva la libertà, diz-se repetidamente"
"politica","Passos Coelho destaca pioneirismo da carta de compromissos por Trás-os-Montes",?
"Politica","Passos Coelho destaca pioneirismo da carta de compromissos","O primeiro-ministro, Pedro Passos Coelho, afirmou hoje, em Vila Real, que a carta de compromissos assinada por nove instituições é um exemplo pioneiro para o acesso a fundos comunitários, que espera agora que sejam melhor aplicados."
"Mundo","Conselho de Segurança da ONU pede cessar-fogo","O Conselho de Segurança das Nações Unidas pediu hoje a Israel e ao movimento palestiniano Hamas um cessar-fogo e apelou ao respeito pelas leis humanitárias internacionais."
"ultimas","Canoista Fernando Pimenta diz que foi condicionado pela ondas",?
"ultimas","Cerca de 40 reclusos de Coimbra com vomitos e diarreias - Ministério da Justiça",?
"ultimas","Freamunde e Sporting de Braga B empatam (1-1) em encontro particular",?
"ultimas","Vitoria de Setubal anuncia acordo com Málaga para transferência de Ricardo Horta",?
"FIFA","FIFA reforça confiança na empresa Match","Em causa está o escândalo de revenda de bilhetes"
"Tour","Rui Costa no Tour: «Corrente saltou-me na ultima subida»","Português sobe na classificaçao, mas perde alguns segundos para a frente"
"mundo","Conselho de Segurança da ONU apela ao cessar-fogo em Gaza","Forças israelitas intensificam a sua campanha aérea contra o Hamas. Este sábado atingiram 60 alvos, incluindo uma mesquita. Numero de vitimas palestinianas já ultrapassa 130 pessoas, a maior parte civis."
"Portugal","Passos Coelho destaca pioneirismo da carta de compromissos por Trás-os-Montes","E, para o primeiro-ministro, o compromisso hoje assumido é uma primeira abordagem, um primeiro passo para corrigir algumas das insuficiências do passado"
"Portugal","Cerca de 40 reclusos de Coimbra com vomitos e diarreias","Nesta prisao de cerca de 500 reclusos, uma situaçao idêntica registou-se há cerca de “mês e meio” "
"Portugal","Bloco já esperava ruptura da Manifesto e critica impulso para dividir a esquerda","Perante esta ruptura, o Bloco de Esquerda refere que anteriores posições de alguns dos membros do Forum Manifesto já anunciavam a decisao hoje tomada"
"Portugal","Protecçao Civil apela aos condutores para evitarem entrar na Figueira da Foz","À entrada da Figueira da Foz, os condutores devem divergir para Norte, no sentido de Buarcos e das praias, pela Rodovia Urbana"
"Economia/Politica","Antonio Costa apela à mobilizaçao dos socialistas e quer debate com elevaçao","O candidato nas primárias do PS, Antonio Costa, disse hoje que para ser alternativa nao basta ganhar porque quem ganha por poucochinho é capaz de poucochinho, num encontro em que apelou à mobilizaçao e defendeu um debate com elevaçao."
"Pais","Portugal de Norte a Sul","A partir de segunda-feira, a SIC vai percorrer Portugal de Norte a Sul. Para ver no Primeiro Jornal e no Jornal da Noite."
"Desporto","Rui Costa lamenta-se da sorte, com correia solta na ultima subida","O ciclista português Rui Costa, campeao mundial de estrada, lamentou-se da sorte na oitava etapa, em que perdeu 41 segundos para o lider da Volta a França, o italiano Vicenzo Nibali, mas subiu para oitavo."
"ultimas","Lider Libolo perde invencibilidade no Girabola2014, em jornada de surpresas",?
"ultimas","Bloco já esperava rutura da Manifesto e critica impulso para dividir a esquerda",?
"Politica","Corrente Forum Manifesto desvincula-se do Bloco de Esquerda","A Forum Manifesto, corrente fundada por Miguel Portas e à qual pertence a ex-deputada Ana Drago, decidiu hoje, em assembleia geral, por larga maioria, desvincular-se do Bloco de Esquerda e contribuir para novas plataformas politicas abrangentes."
"Mundial2014","«Nenhum campeao do Mundo jogou sempre bem», lembra Löw","Selecionador alemao analisa nivel exibicional"
"sociedade","Cerca de 40 reclusos de Coimbra com vomitos e diarreias",?
"Tech","Jovens mostram robôs com que vao competir no RoboCup Brasil","Algumas equipas de jovens mostraram hoje ao publico que ia passando pela Feira do Livro de Braga os vários robôs que vao levar à cidade brasileira de Joao Pessoa para competir no RoboCup 2014."
"Portugal","Portugal conquista cinco medalhas nas Olimpiadas da Matemática","No comunicado, o ministro da Educaçao e Ciência, Nuno Crato, aproveita para felicitar a equipa que representou Portugal"
"Mais","Alive. Festival regressa ao Passeio Maritimo de Algés de 9 a 11 de Julho de 2015 ","Os passes de três dias e os bilhetes para o primeiro dia, 10 de julho que teve os britânicos Arctic Monkeys como cabeça de cartaz, esgotaram cerca de um mês antes da abertura do festival"
"Cultura","Festival NOS Alive já tem data marcada para 2015","A 8.ª ediçao do NOS Alive termina esta noite, com os The Libertines como cabeças-de-cartaz, mas o festival já tem data de regresso para 2015."
"Seguranca","Cerca de 40 reclusos de Coimbra com vomitos e diarreias","Cerca de 40 reclusos do Estabelecimento Prisional de Coimbra apresentaram, este sábado, um quadro clinico de vomitos e diarreias, mas ainda se desconhece o motivo, segundo fonte oficial do Ministério da Justiça."
"ultimas","Sporting da Covilha dá a volta ao resultado e vence Tondela",?
"Mundial2014","Löw, os penaltis de Lehmann e a influência holandesa","Selecionador alemao em conferência de imprensa"
"sociedade","Portugal conquista cinco medalhas nas Olimpiadas da Matemática",?
"Empresas/Finanças","TAP está a investigar problema no reactor de aviao que provocou queda de peças","A TAP já está a investigar as causas do incidente que ocorreu hoje de manha, em que um aviao da companhia teve um problema num dos reactores, provocando a queda de peças na zona de Camarate, Loures."
"Politica","Passos Coelho destaca pioneirismo da carta de compromissos por Trás-os-Montes","O primeiro-ministro, Pedro Passos Coelho, afirmou, este sábado, em Vila Real, que a carta de compromissos assinada por nove instituições é um exemplo pioneiro para o acesso a fundos comunitários, que espera agora que sejam melhor aplicados."
"Internacional","Conselho de Segurança da ONU pede cessar-fogo na Palestina","O Conselho de Segurança das Nações Unidas pediu hoje a Israel e ao movimento palestiniano Hamas um cessar-fogo e apelou ao respeito pelas leis humanitárias internacionais."
"Futebol","Ricardo Horta reforça Málaga",?
"Fama","Mel Gibson trabalha no seu eu interior","Ator sente-se frustrado pelos comentários anti-semitas que fez em 2006, mas está cansado de ser lembrado por isso. Agora decidiu trabalhar no seu eu interior."
"Sociedade","Portugal conquista cinco medalhas nas Olimpiadas da Matemática","Portugal conquistou duas medalhas de prata, três de bronze e uma mençao honrosa nas Olimpiadas Internacionais de Matemática, que decorrem na Cidade do Cabo, na África do Sul, e que terminam domingo."
"ultimas","Portugal acaba Mundial feminino de andebol de sub-20 na 16.ª posiçao",?
"Musica","O fim de tarde no Nos Alive14 é português (e a gente gosta)","You Cant Win Charlie Brown, Beautify Junkyards e Black Mamba abrem caminho a uma noite onde os protagonistas maiores vêm de Inglaterra e dos Estados Unidos. Nada que os apoquente."
"economia","Por quê os sacos de plástico? Por que nao educar os cidadaos?",?
"Politica","É necessário quebrar o centralismo em Portugal","O secretário-geral do Partido Socialista (PS), Antonio José Seguro, afirmou hoje, em Santo Tirso, que é necessário quebrar o centralismo em Portugal, considerando que, quanto mais autonomia tiver o poder local, melhores serviços presta à populaçao."
"Pais","Portugal conquista cinco medalhas nas Olimpiadas da Matemática","Portugal conquistou duas medalhas de prata, três de bronze e uma mençao honrosa nas Olimpiadas Internacionais de Matemática, que decorrem na Cidade do Cabo, na África do Sul, e que terminam domingo."
"Mundo","Numero de mortos palestinianos aumenta para 135","Os ataques aéreos de Israel contra Gaza causaram hoje 30 mortos, incluindo duas mulheres que se encontravam internadas, disseram à AFP fontes médicas palestinianas."
"Desporto","Sporting da Covilha dá a volta ao resultado e vence Tondela","O Sporting da Covilha, da II Liga portuguesa de futebol, venceu hoje o Tondela, do mesmo escalao, por 2-1, no terceiro jogo de preparaçao dos serranos."
"Politica","Bloco critica impulso para dividir a esquerda","O Bloco de Esquerda considerou hoje sem surpresa a decisao maioritária tomada pela Associaçao de Forum Manifesto no sentido de se desvincular dos bloquistas e salienta que o impulso para dividir prejudica a esquerda."
"Mundial 2014","Brasil-Holanda (onzes oficiais): Scolari faz seis mudanças","Escrete de cara renovada, Holanda de continuidade"
"Liga","Sporting: Shikabala em destaque na vitoria sobre a seleçao dos Açores","Jogo com uma Seleçao dos Açores"
"FC Porto","FC Porto: Mangala em Manchester, diz-se em Inglaterra","Defesa central terá aceite oferta do City; transferência milionária à vista"
"Dicas","Dica do Dia: Alertas sem aviso sonoro",?
"Dicas","Dica do Dia: Como deslocar um grupo de separadores no Firefox",?
"Internet","Google obrigada a fazer alterações à politica de privacidade no Reino Unido",?
"Dicas","Teclas de atalho do Windows: 50 maneiras de trabalhar mais depressa",?
"Dicas","Dica do Dia: Partilhar links para ficheiros no Dropbox",?
"Futebol","Sporting derrota seleçao dos Açores (1x2)",?
"politica","Seguro mergulhou na festa de S. Bento e Costa apelou à mobilizaçao dos socialistas","Os dois candidatos às eleições primárias estiveram ontem no Norte a pedir o voto aos militantes e simpatizantes do partido."
"Pais","Testemunhas viram fumo no aviao da TAP antes da queda de fragmentos","Um Aviao da TAP que partia de Lisboa para Sao Paulo, no Brasil, teve um problema num motor logo apos a descolagem. O aparelho estava sobre Camarate quando o reator falhou. Os habitantes ouviram uma explosao seguida da queda de pequenas peças que atingiram pessoas e viaturas. Ninguém ficou ferido apesar do susto e dos prejuizos. Quanto ao aviao, um A-330, regressou ao aeroporto uma hora depois do piloto ter lançado um SOS para a torre de controlo."
"Pais","Outros incidentes com aviões da TAP","O incidente de hoje nao é o primeiro do género a acontecer recentemente na TAP. Ainda esta semana, um aviao da companhia que seguia de Lisboa para Amesterdao teve de aterrar de emergência no aeroporto de Orly, em França, com problemas técnicos. Nos ultimos tempos tem havido várias situações de avarias, atrasos e cancelamentos de voos que causam transtorno aos passageiros e que afetam a imagem da transportadora."
"Crise no GES","Angela Merkel alerta para as fragilidades do euro referindo-se ao BES","Angela Merkel também já falou no BES para justificar a fragilidade do euro numa altura que ainda é complicada para a economia europeia. A chanceler alema considera que muito já foi feito, mas que este episodio de um banco com problemas em Portugal mostra como a incerteza chega facilmente aos mercados."
"Crise no GES","Governo e oposiçao concordam que erros da banca nao deverao ser suportados por dinheiros publicos","Nas declarações politicas sobre o BES, reina, por enquanto, o consenso: o lider da oposiçao pede garantias de que os erros da banca nao voltarao a ser suportados por dinheiros publicos e o primeiro-ministro garante que os contribuintes nao serao chamados a pagar os maus negocios dos privados."
"Economia","Governo quer acelerar entrada da nova administraçao do BES","Os problemas no Grupo Espirito Santo continuam a ter forte impacto no BES. Depois de uma semana em que o banco teve ações suspensas, desvalorizou em bolsa e ainda sofreu cortes das principais agências de Rating. Segundo o Expresso, o Governo quer agora acelerar o quanto antes a entrada em funções da nova administraçao do banco."
"Mundo","Numero de mortos palestinianos em Gaza aumenta para 135","Os ataques aéreos de Israel contra Gaza causaram este sábado 30 mortos, incluindo duas mulheres que se encontravam internadas, disseram à AFP fontes médicas palestinianas."
"ultimas","Mundial2014: Low rejeita fracasso e diz que futuro do futebol alemao está seguro",?
"ultimas","Sveshnikov vence terceira etapa do Joaquim Agostinho, Delio Fernández mais lider",?
"Economia","O IMI devia estar indexado ao rendimento do prédio","Sidonio Pardal, especialista em fiscalidade imobiliária, defende regime diferente para evitar excesso de cobrança no IMI."
"Mundo","Mais de 70 mil pessoas fogem da cidade ucraniana de Donetsk","Presidente ucraniano prometeu retaliaçao contra rebeldes pro-russos que ocupam cidade de Donetsk. Medo leva a êxodo em massa."
"Desporto","Quem leva o consolo para casa?","Em 1998, os croatas foram melhores. Ai, a Holanda ficou em 4.º lugar do Mundial. Hoje volta a discutir um 3.º lugar, agora com o Brasil, os anfitriões que querem despedir-se a ganhar da propria festa."
"Musica","Mas afinal vale a pena comer num festival de verao?","Ver concertos, beber cerveja, tirar umas fotos e pôr a conversa em dia. Mas quando chega a fome... safamo-nos?"
"Futebol","Victor Andrade: «Vim para dar o meu melhor, fazer golos e conquistar titulos»",?
"culturaipsilon","Depois do Nos Alive, Cass Mccombs toca na ZBD","Cass Mccombs dá o unico concerto em sala da sua digressao na ZDB em Lisboa"
"mundo","Rivais presidenciais do Afeganistao aceitam auditoria a todos os votos","Secretário de Estado norte-americano consegue mediar acordo entre os dois candidatos."
"Mundial 2014","Low rejeita fracasso e diz que futuro do futebol está seguro","O selecionador alemao, Joachim Low, recusou qualificar como um fracasso uma eventual derrota frente à Argentina na final do Mundial2014, por entender que o futuro do futebol germânico está assegurado."
"Pais","Familia provoca terror em freguesia","Uma familia tem vindo a aterrorizar a aldeia de Correlha, em Ponte de Lima, com roubos, agressões e maus-tratos, conta o Jornal de Noticias."
"Cultura","Festival regressa a Algés de 9 a 11 de julho de 2015","O festival Alive, cuja 8.ª ediçao termina hoje, regressa ao Passeio Maritimo de Algés, Oeiras, nos dias 09, 10 e 11 de julho de 2015, anunciou hoje a organizaçao da iniciativa."
"economia","Bloco já esperava ruptura da Manifesto e critica impulso para dividir a esquerda ","O Bloco de Esquerda considerou hoje sem surpresa a decisao maioritária tomada pela Associaçao de Forum Manifesto no sentido de se desvincular dos bloquistas e salienta que o impulso para dividir prejudica a esquerda."
"ultimas","Treinador do Freamunde condena abandono do reforço Diogo Fonseca",?
"ultimas","Académico de Viseu empatou com o Guimaraes B, na apresentaçao aos socios",?
"ultimas","FC Porto chegou à Holanda em silêncio",?
"ultimas","Passos avisa que contribuintes nao podem suportar erros dos bancos",?
"Mundial 2014","Scolari faz várias mudanças no jogo do 3.º lugar","Brasil e Holanda jogam pela presença no podio do Mundial 2014. Scolari faz várias mudanças, Van Gaal mantém o melhor onze."
"Portugal","PS. Costa diz que sondagem demonstra urgência de nova liderança","O autarca de Lisboa afirmou também que tem vivido o debate este debate interno no PS com elevaçao, camaradagem e fraternidade"
"Portugal","Seguro. É necessário “quebrar o centralismo” em Portugal","“Uma reorganizaçao feita a régua e esquadro nao corresponde à vontade das pessoas”, realçou"
"Portugal","Passos avisa que contribuintes nao podem suportar erros dos bancos ","As empresas que olham mais aos amigos do que à competência pagam um preço por isso, mas esse preço nao pode ser imposto à sociedade como um todo e muito menos aos contribuintes, disse "
"ultimas","Brasileiro Platiny reforça ataque do Desportivo das Aves",?
"ultimas","PS: Costa diz que sondagem demonstra urgência de nova liderança",?
"ultimas","Autarca de Lisboa discorda de portagens para diminuir os carros na capital",?
"Futebol","Adrián Lopez: «Sinto-me muito feliz por chegar a um clube tao grande como FC Porto»",?
"local","Oito veiculos protestam contra portagens na Via do Infante",?
"ultimas","PSD de Santo Tirso acusa presidente socialista de transformar Paços do Concelho na sede do PS",?
"Ciência","Alguns recordes de gigantismo no mundo dos insetos","Quando abre as asas, o gafanhoto gigante que pousou no braço de James Rodriguez pode medir mais de um palmo, mas a mariposa-imperador é ainda maior. Qual será o inseto mais longo? E o mais pesado?"
"Mundial 2014","Brasil-Holanda: Sneijder lesionado no aquecimento","Louis van Gaal opta por Jonathan De Guzman"
"Mundial2014","Mundial: a tarde em que Shakira alcança Cafu","Colombiana vai participar na terceira final"
"Mundial 2014","Holanda vence Brasil em apenas 17 minutos","No Estádio Nacional, em Brasilia, joga-se o chamado encontro da consolaçao, com Brasil e Holanda a lutar pelo terceiro lugar do Mundial-2014, mas a Holanda já está na frente com dois golos e deixa o Brasil com menos hipoteses de ser o 3º classificado."
"Portugal","Autarca de Lisboa discorda de portagens para diminuir os carros na capital","As entradas genericamente em Lisboa já estao portajadas e a forma de regulaçao do trânsito é termos um bom sistema de transportes publicos, afirmou"
"Portugal","Marques Mendes sobre o BES. “Carlos Costa tem de intervir e já”","“Faz 3 semanas que o BES nao tem administraçao. Há uma certa passividade que tem de ser ultrapassada, afirmou"
"ultimas","Ricardo Santos termina em 55.º o terceiro dia do Open da Escocia",?
"Pais","Seguro defende mais autonomia para as autarquias","Quebrar o centralismo e dar mais autonomia às autarquias para melhorar o serviço prestado pelo poder local, defende José Seguro."
"Seleçao","Sub-19: Portugal empata com Estoril a caminho do Euro 2014","O Europeu começa a 19 de Julho na Hungria"
"Liga","Nacional contrata dois egipcios ao abrigo de protocolo com o Arab Contractors","Mamhoud Ezzat e Aly Fathy"
"Economia","Quem vai perder sao os portugueses e a economia","No seu espaço de comentário semanal na SIC, o antigo lider dos sociais-democratas, Marques Mendes dividiu a situaçao polémica do BES em três momentos, garantindo que é necessário “dar explicações sérias e uteis aos portugueses”, pois apesar de ser uma empresa privada, tornou-se agora num assunto publico. Explicando ainda que os portugueses vao ser novamente os mais afetados. O antigo lider do PS falou ainda sobre a renegociaçao da divida portuguesa e a fiscalidade verde."
"Politica","Sondagem demonstra urgência de nova liderança","O candidato à liderança do PS Antonio Costa considerou hoje que as ultimas sondagens, com a descida do partido, demonstram a urgência de uma nova direçao."
"Desporto","FC Porto chegou à Holanda em silêncio","O FC Porto chegou hoje em silêncio à Holanda, onde vai estagiar até 19 de julho, com o foco da imprensa e de alguns adeptos, que esperavam a comitiva, nas caras novas do plantel."
"Pais","Despiste de trator provoca um morto e um ferido","O despiste de um trator, hoje, no Fundao, provocou a morte de um homem e ferimentos leves numa mulher, disse à agência Lusa fonte dos bombeiros voluntários daquela cidade."
"Mundo","Os dois candidatos presidenciais aceitam recontagem dos votos","Os dois candidatos presidenciais afegaos acordaram hoje com a auditoria a todos os votos depositados durante as eleições, uma soluçao proposta pela mediaçao do secretário de Estado norte-americano, John Kerry."
"Mundo","Grupo armado mata 25 mulheres em Bagdad","Vinte e cinco mulheres foram hoje mortas por um grupo armado, que feriu pelo menos oito pessoas num ataque contra dois edificios numa zona residencial em Bagdad conhecida por ser uma zona de prostituiçao."
"Economia","Passos avisa que contribuintes nao podem suportar erros dos bancos","O lider do PSD, Pedro Passos Coelho, considerou hoje que o preço a pagar pelos bancos, por erros de avaliaçao de projetos, nao pode ser imputado aos contribuintes, avisando que aqueles que têm problemas porque decidiram mal têm que os resolver."
"Portugal","Poiares Maduro admite que cozinhar é mais fácil que governar","Convidado a confeccionar um prato com ingredientes de Alcobaça, o ministro pôs o avental, muniu-se de maça, pera e ameixa da regiao e, com eles, recheou tomates para fazer uma sobremesa"
"Politica","Passos diz que contribuintes nao podem suportar erros dos bancos","O lider do PSD, Pedro Passos Coelho, considerou, este sábado, que o preço a pagar pelos bancos, por erros de avaliaçao de projetos, nao pode ser imputado aos contribuintes, avisando que aqueles que têm problemas porque decidiram mal têm que os resolver."
"ultimas","Poiares Maduro admite que cozinhar é mais fácil que governar",?
"Mundo","BES: Passos Coelho diz que cada um deve pagar pelos seus erros","Ainda que sem se referir diretamente ao caso BES, Passos Coelho, disse que nao podem ser os contribuintes a pagar os erros da banca."
"Musica","War on Drugs fazem viagem costa a costa no Nos Alive","Banda de Adam Granduciel trouxe as gloriosas canções de Lost in the Dream a Algés."
"Dicas","Dica do Dia: Como alterar a cor de fundo da área de trabalho do GIMP",?
"Internet","Equipa do Outlook.com sugere futuro suporte do protocolo IMAP",?
"Dicas","Dica do Dia: Website Opener para o Chrome",?
"Dicas","Dica do Dia: Guardar uma imagem de uma página web com o Firefox",?
"Dicas","Dica do Dia: Saiba quem está a utilizar a sua biblioteca",?
"Dicas","Dica do Dia: Aceder à versao antiga do Tweetdeck",?
"Liga","Adrián: «Espero retribuir a confiança»","Reforço do FC Porto deixa as primeiras impressões"
"Pais","Aviao da TAP obrigado a regressar à Portela apos falha de motor",?
"Pais","Dezenas de reclusos de Coimbra afetados por intoxicaçao alimentar",?
"Pais","Sindicato dos Pilotos preocupado com problemas técnicos dos aviões da TAP",?
"Economia","Presidente do Tribunal de Contas apoia intervençao do BdP na crise do BES",?
"Economia","Merkel cita crise no BES para rejeitar alivio de regras orçamentais",?
"Politica","Seguro mais tranquilo sobre BES apos reuniao com Governador do BdP",?
"Pais","Autoridades investigam intoxicaçao alimentar que atingiu 50 pessoas",?
"Politica","Passos diz que empresas têm de resolver as suas proprias más decisões",?
"Mundial 2014","Brasil e Holanda jogam em Brasilia para o terceiro e quarto lugares no Mundial",?
"Pais","Novas bolsas para estudar no interior ou recomeçar cursos",?
"Politica","Paulo Portas defende que Portugal teria sido mais sustentável sob o CDS",?
"Desporto","Rui Costa sobre ao oitavo lugar na Volta à França",?
"Economia","BES incapaz de deter queda nos mercados",?
"Mundial 2014","Nicola Rizzoli vai arbitrar final do Mundial de futebol 2014",?
"Mundial 2014","Maior operaçao de segurança de sempre no Rio de Janeiro para a Final",?
"Cultura","Black Keys fecharam segundo dia do NOS Alive",?
"Mundo","A final dos dois papas",?
"Pais","Equipas de intervençao florestal procuram evitar incêndios em Oleiros",?
"Desporto","Joao de Sousa na final do Torneio de Bastad na Suécia",?
"Desporto","Rui Costa lamenta-se da sorte","Rui Costa, campeao mundial de estrada, lamentou-se da sorte na oitava etapa, em que perdeu 41 segundos para o lider da Volta a França, o italiano Vicenzo Nibali, mas subiu para oitavo."
"Economia","Reforma da fiscalidade verde entra em consulta publica",?
"Desporto","Adrián Lopez chegou e seguiu para o estágio","Adrián Lopez já integroua comitiva que viajou hoje para Horst, na Holanda, onde os dragões vaorealizar um estágio de pré-época até ao proximo dia 19 de julho."
"Mundo","Combates regressam aos arredores de Donetsk",?
"Imagem do Dia","Guerra dos Tronos",?
"Mundo","Israel bombardeou 60 alvos em Gaza durante a madrugada",?
"Mundo","Ministros curdos suspendem participaçao no Governo iraquiano",?
"desporto","Alejandro Sabella: A Alemanha sempre foi poderosissima","Argentina está na final 24 anos depois e o técnico quer dar uma alegria a todo o pais."
"local","Despiste de tractor no Fundao provoca um morto e um ferido",?
"Politica","Poiares Maduro admite que cozinhar é mais fácil que governar","O ministro do Desenvolvimento Regional, Poiares Maduro, admitiu hoje que é mais fácil cozinhar do que governar e provou-o, confecionando uma sobremesa com ingredientes da regiao de Alcobaça."
"Cultura","Mundo rock chora morte de Tommy Ramone","A morte hoje do ultimo integrante da formaçao original dos Ramones, Tommy Ramone, foi chorada hoje pelo mundo do rock, que através das redes sociais lembrou o papel chave da banda nova-iorquina na historia da musica."
"Mundo","As mais criativas selfies publicadas no Instagram","Há quem seja viciado e já nao queira viver sem elas. Há quem nunca tenha tirado uma e até quem nao saiba pronunciar a palavra. Porém, o caso que lhe mostramos de seguida é um exemplo de pura criatividade. As selfies que Helene Meldahl tira ao espelho batem qualquer uma que tenha tirado até aqui, asseguramos, e mesmo que nunca tenha ouvido falar deste tipo de fotos vai querer ver esta galeria."
"Economia","Autarca de Lisboa discorda de portagens para diminuir os carros","O presidente da Câmara de Lisboa, Antonio Costa, disse hoje à Lusa discordar da introduçao de portagens à entrada da capital, como defende a proposta para a fiscalidade verde."
"Politica","PSD acusa presidente de transformar Paços do Concelho na sede do PS","O PSD de Santo Tirso acusou hoje o presidente socialista daquele concelho de transformar a câmara na sede do PS e de partidarizar as festas de Sao Bento, romaria que decorre na localidade."
"Portugal","Despiste de tractor no Fundao provoca um morto e um ferido","O acidente ocorreu pelas 19:41, em Castelejo"
"Mundo","Ataques aéreos de Israel contra Gaza causaram mais 30 mortos","Os ataques aéreos de Israel contra Gaza causaram hoje 30 mortos, incluindo duas mulheres que se encontravam internadas, disseram à AFP fontes médicas palestinianas."
"Desporto","F. C. Porto chegou à Holanda em silêncio e já com Adrian Lopez","O F. C. Porto chegou, este sábado, em silêncio à Holanda, onde vai estagiar até 19 de julho, com o foco da imprensa e de alguns adeptos, que esperavam a comitiva, nas caras novas do plantel."
"Futebol","City: Ingleses dizem que Mangala já fez exames médicos",?
"Politica","Costa diz que sondagem demonstra urgência de nova liderança","O candidato à liderança do PS Antonio Costa considerou hoje que as ultimas sondagens, com a descida do partido, demonstram a urgência de uma nova direçao."
"Cultura","Poiares Maduro admite que cozinhar é mais fácil que governar","O ministro do Desenvolvimento Regional, Poiares Maduro, admitiu hoje que é mais fácil cozinhar do que governar e provou-o, confecionando uma sobremesa com ingredientes da regiao de Alcobaça."
"Politica","PSD de Santo Tirso acusa presidente socialista de transformar Paços do Concelho na sede do PS","O PSD de Santo Tirso acusou hoje o presidente socialista daquele concelho de transformar a câmara na sede do PS e de partidarizar as festas de Sao Bento, romaria que decorre na localidade."
"Politica","Passos avisa que contribuintes nao podem suportar erros dos bancos","O lider do PSD, Pedro Passos Coelho, considerou hoje que o preço a pagar pelos bancos, por erros de avaliaçao de projetos, nao pode ser imputado aos contribuintes, avisando que aqueles que têm problemas porque decidiram mal têm que os resolver."
"Pais","Autarca de Lisboa discorda de portagens para diminuir os carros na capital","O presidente da Câmara de Lisboa, Antonio Costa, disse hoje à Lusa discordar da introduçao de portagens à entrada da capital, como defende a proposta para a fiscalidade verde."
"culturaipsilon","Depois dos 20 anos, o Curtas volta a produzir","Manuel Mozos, Sandro Aguilar e Lois Patiño dirigem “encomendas” do Curtas com equipas de estudantes. Estreia prevista para 2015"
"Fama","Michael Douglas diz que já nada o surpreende","Ator diz que já passou por tanta coisa na sua vida que nada pode surpreendê-lo."
"Pais","Bloco de Esquerda critica impulso para dividir a esquerda","O Bloco de Esquerda considerou hoje sem surpresa a decisao maioritária tomada pela Associaçao de Forum Manifesto no sentido de se desvincular dos bloquistas e salienta que o impulso para dividir prejudica a esquerda."
"Mundo","Dois candidatos presidenciais no Afeganistao aceitam recontagem dos votos","Os dois candidatos presidenciais afegaos acordaram hoje com a auditoria a todos os votos depositados durante as eleições, uma soluçao proposta pela mediaçao do secretário de Estado norte-americano, John Kerry."
"ultimas","COMENTÁRIO/ Sporting vence Seleçao dos Açores (2-1) e conquista Troféu Pauleta",?
"culturaipsilon","O Triângulo Dourado é o melhor filme português do Curtas 2014","Palmarés equilibrado escolhe ainda franco-cambojano Cambodia 2099 para o grande prémio internacional"
"mundo","Antigo lider da Igreja anglicana apoia lei de suicidio assistido","George Carey  diz que o caso de um doente terminal que lutou durante anos para morrer influenciou a sua mudança de posiçao."
"Mundial 2014","Holanda põe-se a vencer Brasil com dois golos em apenas 17 minutos","No Estádio Nacional, em Brasilia, joga-se o chamado encontro da consolaçao, com Brasil e Holanda a lutar pelo terceiro lugar do Mundial-2014, mas a Holanda já está na frente com dois golos e deixa o Brasil com menos hipoteses de ser o 3º classificado."
"Tech","Samsung volta a adiar estreia do primeiro smartphone com Tizen","Aquele que seria o primeiro smartphone da Samsung com o sistema operativo Tizen, ainda nao chegou às lojas, ao contrário do que estava previsto."
"Portugal","Trânsito normalizado na Figueira da Foz","Hoje, segundo e ultimo dia do RFM SOMNII, o festival teve inicio às 15:00 e o cartaz inclui, entre outros, Alesso, W&W e o português Pete Tha Zouk"
"Desporto","Mundial 2014. Low rejeita fracasso e diz que futuro do futebol alemao está seguro","Quanto à possibilidade de a Alemanha se tornar na primeira seleçao europeia a conquistar um Mundial em solo americano, Low considera-a um dado secundário"
